city_name,long,lat,temp,humidity,cloud,wind
Måløy,5.1136,61.9353,59.74,61,11,6.11
Tifton,-83.5085,31.4505,71.26,100,84,0.0
Coolum Beach,153.1,-26.5333,66.47,95,64,7.27
Le Pont-de-Claix,5.7064,45.1244,59.94,82,25,3.18
Kieta,155.6333,-6.2167,82.0,79,95,6.24
Bom Jesus,-44.3586,-9.0744,70.03,55,19,3.11
Cap Malheureux,57.6142,-19.9842,71.58,72,58,20.83
Dano,-3.0667,11.15,72.45,94,100,5.41
Dzilam González,-88.9333,21.2833,74.73,96,100,3.44
Chaman,66.4512,30.9236,88.23,13,0,4.12
Parfen'yevo,43.4088,58.484,45.03,71,21,7.27
Campbell River,-125.2446,50.0163,58.01,84,9,9.19
Manaure,-72.4445,11.7751,82.35,75,100,3.44
Beringovskiy,179.3167,63.05,47.46,82,4,8.28
Launceston,147.1667,-41.45,65.66,67,75,1.14
Corrales,-106.6067,35.2378,75.76,30,92,8.99
Puerto López,-72.956,4.0845,73.2,90,32,3.18
Palauig,119.9045,15.435,83.73,79,100,3.94
Saldanha,17.9442,-33.0117,48.25,85,7,7.47
Luoyang,112.4536,34.6836,76.77,62,97,5.14
Le Chambon-Feugerolles,4.3259,45.3969,57.76,72,0,6.91
Montepuez,38.9997,-13.1256,73.56,41,0,6.13
Paamiut,-49.6678,61.994,43.02,80,89,15.93
Kenora,-94.4337,49.8167,58.17,77,75,5.75
Faya,42.4509,18.3851,77.52,22,0,15.86
Aitape,142.3475,-3.1374,82.22,80,63,7.74
Andros Town,-77.7667,24.7,78.76,69,12,7.61
Te Anau,167.7167,-45.4167,44.58,89,10,1.7
Olafsvik,-23.7142,64.8945,50.99,95,100,6.96
Leshukonskoye,45.7622,64.8989,44.76,94,100,9.19
Trelew,-65.3051,-43.249,37.83,85,21,6.64
Wuhu,118.3755,31.3366,85.5,47,98,9.4
Nouakchott,-15.9785,18.0858,79.7,87,100,12.37
Burē,37.0667,10.7,63.32,84,20,2.46
Idrinskoye,92.1358,54.3708,60.89,39,79,7.4
Champasak,106.0,14.75,85.08,54,91,3.85
Forsytheganj,29.7333,52.6333,46.69,57,55,10.89
Orange Cove,-119.3137,36.6244,81.77,42,0,4.61
Nevel',29.9284,56.0209,47.25,53,8,3.71
Batagay,134.6333,67.6333,41.45,93,100,3.36
Ilhabela,-45.3581,-23.7781,73.98,58,35,4.29
Santa Cruz del Sur,-77.9956,20.7147,80.76,71,1,2.3
Sawtell,153.1,-30.3833,68.02,73,67,16.11
Talaya,152.75,61.3833,46.49,86,100,7.14
Mitsamiouli,43.2844,-11.3847,76.59,69,22,5.73
Lienz,12.769,46.8289,57.96,87,93,1.34
Dutlwe,23.9,-23.9833,65.28,41,0,12.35
Buala,159.5921,-8.145,83.5,71,71,7.63
Mmabatho,25.6333,-25.85,64.36,52,0,4.61
Asău,26.4,46.4333,58.12,66,83,2.08
